姓	名	小时工资	工作小时	工作职场	头衔	入职时间
孙	文杰	2.25	37	深圳南山	DBA	2017/09/22
周	文杰	13.11	38	南京雨花台	前端开发	1998/04/02
严	阳	20.43	20	浦东张江	系统管理	2019/11/27
薛	相龙	16.56	31	海淀五道口	系统管理	2001/11/28
夏	健	7.7	34	浦东陆家嘴	存储管理	2000/09/26
汤	波	4.81	26	浦东陆家嘴	产品经理	2015/12/08
顾	海波	25.34	45	南京雨花台	云平台管理	2006/11/14
徐	相龙	2.21	37	浦东张江	存储管理	2017/09/10
魏	子轩	43.0	24	深圳南山	系统管理	2016/03/10
钱	捷	17.92	44	浦东张江	后台开发	2002/06/21
吴	茉莉	21.97	40	浦东张江	DBA	2008/12/17
肖	雷	56.1	38	海淀五道口	前端开发	2005/09/04
钱	欢	4.85	25	浦东陆家嘴	前端开发	2006/06/06
陆	海波	41.71	33	海淀五道口	后台开发	2022/09/04
牛	美雅	26.47	44	浦东陆家嘴	DBA	2013/12/27
冯	鑫	25.55	41	海淀五道口	产品经理	2020/10/27
何	彪	32.46	30	浦东张江	DBA	2001/07/04
薛	丽	46.89	38	浦东陆家嘴	系统管理	2018/12/09
林	建刚	17.7	28	深圳南山	后台开发	2019/10/25
曾	欢	57.31	20	浦东陆家嘴	DBA	2017/01/17
邹	丽亚	51.75	43	深圳南山	产品经理	2002/01/01
白	磊	40.58	28	浦东张江	前端开发	2011/10/06
肖	华健	20.65	48	浦东陆家嘴	产品经理	2021/11/10
黄	捷	53.66	36	浦东张江	UI设计	2010/02/16
黄	美雅	25.31	44	海淀五道口	前端开发	2004/06/09
鲁	欢	1.21	41	浦东张江	系统管理	2002/07/17
柳	伟敏	60.77	40	浦东陆家嘴	后台开发	2021/06/06
马	子轩	9.25	49	海淀五道口	存储管理	2016/06/27
郑	雷	27.67	31	海淀五道口	产品经理	2022/12/16
顾	思聪	56.48	40	南京雨花台	UI设计	2013/07/17
石	彪	28.7	20	浦东陆家嘴	前端开发	2005/02/14
陆	茵	52.13	43	海淀五道口	UI设计	2015/01/03
华	建	4.93	30	浦东张江	云平台管理	2009/09/19
王	文杰	20.92	22	深圳南山	产品经理	2017/04/15
马	一涵	49.73	39	深圳南山	云平台管理	2010/05/18
袁	娟	26.9	48	海淀五道口	DBA	1999/06/12
何	琴	7.78	48	浦东陆家嘴	后台开发	2008/08/25
许	相龙	47.57	37	深圳南山	DBA	2019/07/18
